drug,disease
[17066],32033
[15570],32033
[17065],32033
[14609],32033
[20139],32033
[15518],32033
[20343],32033
[15517],32033
[14164],32033
[14976],32033
[14962],32033
[15457],32033
[14310],32033
[15519],32033
[15441],32033
[15052],32033
[17244],32033
[16794],32033
[17782],32033
[14137],32033
[17063],32033
[20128],32033
[15611],32033
[20365],83753
[15763],83753
[14250],83753
[14935],83753
[20366],83753
[14262],83753
[17411],83753
[14281],83753
[15422],83753
[15219],83753
[14028],83753
[15003],83753
[14019],83753
[17628],83753
[14819],83753
[20367],83753
[15084],83753
[14300],83753
[15604],83753
[20193],83753
[20322],83753
[20368],83753
[15296],83753
[20369],83753
[17412],83753
[20370],37617
[20370],30374
[15797],37617
[15797],30374
[14458],37617
[14458],30374
[14269],37617
[14269],30374
[15160],37617
[15160],30374
[14159],37617
[14159],30374
[14024],37617
[14024],30374
[15614],37617
[15614],30374
[14030],37617
[14030],30374
[15003],37617
[15003],30374
[14019],37617
[14019],30374
[17631],37617
[17631],30374
[15479],37617
[15479],30374
[14023],37617
[14023],30374
[20371],37830
[15160],37830
[15614],37830
[15956],37830
[15166],37830
[20372],37564
[16060],37564
[16340],37564
[14843],37564
[15316],37564
[14785],37564
[14702],37564
[15815],37564
[16059],37564
[16221],37564
[14703],37564
[18179],37564
[20373],37564
[14729],37564
[20374],37564
[16074],37564
[20375],37564
[15839],37564
[15549],37564
[20376],37564
[14786],37564
[15420],37564
[15461],83754
[15461],27932
[15461],39774
[15461],36196
[15461],35776
[20378],28756
[20378],37762
[15288],39774
[15288],83754
[20380],39774
[20380],83754
[16478],39774
[16478],83754
[20381],39774
[20381],83754
[20382],39774
[20382],83754
[14269],28478
[14024],28478
[14030],28478
[14028],28478
[15003],28478
[14042],28478
[14019],28478
[14023],28478
[14934],32520
[14606],32520
[15461],83755
[14190],83755
[15461],83756
[15461],39470
[15461],36644
[15461],31850
[15461],83757
[15461],38031
[15461],83758
[18680],83756
[18680],39470
[18680],36644
[18680],31850
[18680],83757
[18680],38031
[18680],83758
[14190],83756
[14190],39470
[14190],36644
[14190],31850
[14190],83757
[14190],38031
[14190],83758
[14655],83756
[14655],39470
[14655],36644
[14655],31850
[14655],83757
[14655],38031
[14655],83758
[14061],83756
[14061],39470
[14061],36644
[14061],31850
[14061],83757
[14061],38031
[14061],83758
[16183],83756
[16183],39470
[16183],36644
[16183],31850
[16183],83757
[16183],38031
[16183],83758
[14299],27933
[14299],37703
[14299],83760
[15117],27933
[15117],37703
[15117],83760
[14189],27933
[14189],37703
[14189],83760
[14885],27933
[14885],37703
[14885],83760
[20384],27933
[20384],37703
[20384],83760
[15116],27933
[15116],37703
[15116],83760
[14905],27933
[14905],37703
[14905],83760
[15082],27933
[15082],37703
[15082],83760
[17310],27933
[17310],37703
[17310],83760
[20147],27933
[20147],37703
[20147],83760
[14176],27933
[14176],37703
[14176],83760
[15073],27933
[15073],37703
[15073],83760
[14893],27933
[14893],37703
[14893],83760
[14884],27933
[14884],37703
[14884],83760
[14173],27933
[14173],37703
[14173],83760
[14156],27933
[14156],37703
[14156],83760
[14543],27933
[14543],37703
[14543],83760
[17305],27933
[17305],37703
[17305],83760
[17257],27933
[17257],37703
[17257],83760
[20385],27933
[20385],37703
[20385],83760
[14544],27933
[14544],37703
[14544],83760
[15667],27933
[15667],37703
[15667],83760
[20386],27933
[20386],37703
[20386],83760
[14325],27933
[14325],37703
[14325],83760
[14906],27933
[14906],37703
[14906],83760
[20133],27933
[20133],37703
[20133],83760
[20387],27933
[20387],37703
[20387],83760
[20388],27933
[20388],37703
[20388],83760
[20389],27933
[20389],37703
[20389],83760
[14310],27933
[14310],37703
[14310],83760
[14540],27933
[14540],37703
[14540],83760
[16855],27933
[16855],37703
[16855],83760
[14542],27933
[14542],37703
[14542],83760
[14153],83761
[14144],83761
[14508],83761
[15466],83761
[14141],83761
[17065],83761
[14993],83761
[14956],83761
[15311],83761
[15835],83761
[15913],29186
[15218],29186
[14153],38242
[17829],38242
[14192],38242
[15146],38242
[14299],38242
[15116],38242
[15082],38242
[14141],38242
[17831],38242
[14176],38242
[15073],38242
[14993],38242
[15590],38242
[14544],38242
[14956],38242
[14310],38242
[14140],38242
[15001],38242
[14161],38242
[15148],38242
[15311],38242
[14999],38242
[14223],38242
[15913],29832
[15218],29832
[14153],28249
[17829],28249
[17831],28249
[16011],38242
[16011],28249
[14999],28249
[14153],83763
[17829],83763
[15194],83763
[14380],83763
[15098],83763
[15093],83763
[17831],83763
[14178],83763
[14956],83763
[14140],83763
[15001],83763
[14161],83763
[14323],83763
[14999],83763
[14223],83763
[15218],32132
[14153],36743
[14144],36743
[14192],36743
[15466],36743
[14141],36743
[14993],36743
[14956],36743
[14234],36743
[15475],36743
[15311],36743
[15472],36743
[18277],36743
[15799],27626
[17141],27626
[14699],27626
[14153],33125
[15416],33125
[15466],33125
[15231],33125
[14294],33125
[15519],33125
[14153],33115
[20354],33115
[15416],33115
[15449],33115
[15837],33115
[15466],33115
[20341],33115
[14294],33115
[15434],33115
[15453],33115
[14378],33115
[15194],38242
[14380],38242
[14323],38242
[20377],33649
[15064],33649
[20431],33649
[14269],33649
[20436],33649
[14020],33649
[15486],33649
[14021],33649
[15500],33649
[16837],33649
[14680],33649
[20437],33649
[14941],33649
[14030],33649
[14028],33649
[15003],33649
[14042],33649
[14320],33649
[17776],33649
[14019],33649
[14033],33649
[15583],33649
[14026],33649
[14029],33649
[20193],33649
[20322],33649
[20438],33649
[14023],33649
[14152],36432
[20339],36432
[15466],36432
[16793],36432
[14276],36432
[14257],36432
[14133],36432
[17344],36432
[14217],36432
[14168],36432
[15295],36432
[14668],36432
[14240],36432
[14691],36432
[20319],36432
[14233],36432
[16788],36432
[14170],39145
[20439],39145
[14208],32217
[14208],33166
[14208],27219
[14208],27249
[14208],31714
[14208],32337
[14208],39203
[14208],38179
