drug,disease
[14797],35523
[14288],35523
[15425],35523
[14949],35523
[14545],35523
[14185],35523
[14286],35523
[14936],35523
[20351],83847
[18687],83847
[15180],83847
[14167],83847
[14797],83847
[15914],83847
[15399],35761
[15399],35669
[17437],37919
[17437],31122
[17437],35894
[17437],35895
[17437],36149
[17437],36860
[17437],35735
[16845],37919
[16845],31122
[16845],35894
[16845],35895
[16845],36149
[16845],36860
[16845],35735
[16844],37919
[16844],31122
[16844],35894
[16844],35895
[16844],36149
[16844],36860
[16844],35735
[15622],33707
[15622],37738
[15622],37009
[15622],36240
[15622],37166
[14401],33707
[14401],37738
[14401],37009
[14401],36240
[14401],37166
[15668],35966
[15668],30826
[15668],35963
[14408],35966
[14408],30826
[14408],35963
[20538],35966
[20538],30826
[20538],35963
[14793],35966
[14793],30826
[14793],35963
[20506],83848
[20539],83848
[20279],39126
[20427],39126
[15485],83849
[14790],83849
[14426],83849
[20540],83849
[15180],83849
[14998],83849
[15425],83849
[14206],83849
[14701],83849
[15145],83849
[14347],83849
[15485],37826
[15485],83850
[15485],37855
[14597],37826
[14597],83850
[14597],37855
[14279],37826
[14279],83850
[14279],37855
[15438],37826
[15438],83850
[15438],37855
[15808],37826
[15808],83850
[15808],37855
[14545],37826
[14545],83850
[14545],37855
[15485],83851
[15485],33128
[14426],83851
[14426],33128
[15213],83851
[15213],33128
[20540],83851
[20540],33128
[14998],83851
[14998],33128
[15873],83851
[15873],33128
[14206],83851
[14206],33128
[15145],83851
[15145],33128
[14951],83851
[14951],33128
[15771],83851
[15771],33128
[14347],83851
[14347],33128
[15485],32638
[14545],32638
[14951],32638
[15485],33210
[14790],33210
[14597],33210
[15299],33210
[14279],33210
[14682],33210
[14030],33210
[14545],33210
[14199],33210
[14696],33210
[16495],28520
[16495],37714
[16495],83852
[16495],83853
[16495],83854
[16495],83855
[16495],38274
[16495],83856
[16495],83857
[16495],83858
[16495],83859
[16495],83860
[16495],83861
[16495],39124
[16495],83862
[14791],28520
[14791],37714
[14791],83852
[14791],83853
[14791],83854
[14791],83855
[14791],38274
[14791],83856
[14791],83857
[14791],83858
[14791],83859
[14791],83860
[14791],83861
[14791],39124
[14791],83862
[14194],28520
[14194],37714
[14194],83852
[14194],83853
[14194],83854
[14194],83855
[14194],38274
[14194],83856
[14194],83857
[14194],83858
[14194],83859
[14194],83860
[14194],83861
[14194],39124
[14194],83862
[15149],28520
[15149],37714
[15149],83852
[15149],83853
[15149],83854
[15149],83855
[15149],38274
[15149],83856
[15149],83857
[15149],83858
[15149],83859
[15149],83860
[15149],83861
[15149],39124
[15149],83862
[15412],28520
[15412],37714
[15412],83852
[15412],83853
[15412],83854
[15412],83855
[15412],38274
[15412],83856
[15412],83857
[15412],83858
[15412],83859
[15412],83860
[15412],83861
[15412],39124
[15412],83862
[14764],28520
[14764],37714
[14764],83852
[14764],83853
[14764],83854
[14764],83855
[14764],38274
[14764],83856
[14764],83857
[14764],83858
[14764],83859
[14764],83860
[14764],83861
[14764],39124
[14764],83862
[14737],28520
[14737],37714
[14737],83852
[14737],83853
[14737],83854
[14737],83855
[14737],38274
[14737],83856
[14737],83857
[14737],83858
[14737],83859
[14737],83860
[14737],83861
[14737],39124
[14737],83862
[14604],28520
[14604],37714
[14604],83852
[14604],83853
[14604],83854
[14604],83855
[14604],38274
[14604],83856
[14604],83857
[14604],83858
[14604],83859
[14604],83860
[14604],83861
[14604],39124
[14604],83862
[15414],28520
[15414],37714
[15414],83852
[15414],83853
[15414],83854
[15414],83855
[15414],38274
[15414],83856
[15414],83857
[15414],83858
[15414],83859
[15414],83860
[15414],83861
[15414],39124
[15414],83862
[14713],28520
[14713],37714
[14713],83852
[14713],83853
[14713],83854
[14713],83855
[14713],38274
[14713],83856
[14713],83857
[14713],83858
[14713],83859
[14713],83860
[14713],83861
[14713],39124
[14713],83862
[14275],28520
[14275],37714
[14275],83852
[14275],83853
[14275],83854
[14275],83855
[14275],38274
[14275],83856
[14275],83857
[14275],83858
[14275],83859
[14275],83860
[14275],83861
[14275],39124
[14275],83862
[17545],28520
[17545],37714
[17545],83852
[17545],83853
[17545],83854
[17545],83855
[17545],38274
[17545],83856
[17545],83857
[17545],83858
[17545],83859
[17545],83860
[17545],83861
[17545],39124
[17545],83862
[14789],28520
[14789],37714
[14789],83852
[14789],83853
[14789],83854
[14789],83855
[14789],38274
[14789],83856
[14789],83857
[14789],83858
[14789],83859
[14789],83860
[14789],83861
[14789],39124
[14789],83862
[14628],28520
[14628],37714
[14628],83852
[14628],83853
[14628],83854
[14628],83855
[14628],38274
[14628],83856
[14628],83857
[14628],83858
[14628],83859
[14628],83860
[14628],83861
[14628],39124
[14628],83862
[14780],28520
[14780],37714
[14780],83852
[14780],83853
[14780],83854
[14780],83855
[14780],38274
[14780],83856
[14780],83857
[14780],83858
[14780],83859
[14780],83860
[14780],83861
[14780],39124
[14780],83862
[15739],28520
[15739],37714
[15739],83852
[15739],83853
[15739],83854
[15739],83855
[15739],38274
[15739],83856
[15739],83857
[15739],83858
[15739],83859
[15739],83860
[15739],83861
[15739],39124
[15739],83862
[15263],28520
[15263],37714
[15263],83852
[15263],83853
[15263],83854
[15263],83855
[15263],38274
[15263],83856
[15263],83857
[15263],83858
[15263],83859
[15263],83860
[15263],83861
[15263],39124
[15263],83862
[14463],28520
[14463],37714
[14463],83852
[14463],83853
[14463],83854
[14463],83855
[14463],38274
[14463],83856
[14463],83857
[14463],83858
[14463],83859
[14463],83860
[14463],83861
[14463],39124
[14463],83862
[15018],28520
[15018],37714
[15018],83852
[15018],83853
[15018],83854
[15018],83855
[15018],38274
[15018],83856
[15018],83857
[15018],83858
[15018],83859
[15018],83860
[15018],83861
[15018],39124
[15018],83862
[14663],28520
[14663],37714
[14663],83852
[14663],83853
[14663],83854
[14663],83855
[14663],38274
[14663],83856
[14663],83857
[14663],83858
[14663],83859
[14663],83860
[14663],83861
[14663],39124
[14663],83862
[14461],28520
[14461],37714
[14461],83852
[14461],83853
[14461],83854
[14461],83855
[14461],38274
[14461],83856
[14461],83857
[14461],83858
[14461],83859
[14461],83860
[14461],83861
[14461],39124
[14461],83862
[15413],35616
[15413],28920
[15413],37343
[15413],83863
[15413],83864
[15413],37179
[15107],35616
[15107],28920
[15107],37343
[15107],36527
[15107],83863
[15107],83864
[15107],37179
[14736],35616
[14736],28920
[14736],37343
[14736],36527
[14736],83863
[14736],83864
[14736],37179
[20156],35616
[20156],28920
[20156],37343
[20156],36527
[20156],83863
[20156],83864
[20156],37179
[14737],35616
[14737],28920
[14737],37343
[14737],83863
[14737],83864
[14737],37179
[14604],35616
[14604],28920
[14604],37343
[14604],83863
[14604],83864
[14604],37179
[14792],35616
[14792],28920
[14792],37343
[14792],83863
[14792],83864
[14792],37179
[20541],35616
[20541],28920
[20541],37343
[20541],36527
[20541],83863
[20541],83864
[20541],37179
[15413],36050
[15413],83865
[15107],36050
[15107],83865
[14194],36050
[14194],83865
[14190],36050
[14190],83865
[15271],36050
[15271],83865
[14737],36050
[14737],83865
[14608],36050
[14608],83865
[14715],36050
[14715],83865
[14792],36050
[14792],83865
[14275],36050
[14275],83865
[15134],36050
[15134],83865
[14793],36050
[14793],83865
[15893],36050
[15893],83865
[15413],31756
[15413],33642
[15413],35624
[15413],33464
[15413],83866
[15107],31756
[15107],33642
[15107],35624
[15107],33464
[15107],83866
[14194],31756
[14194],33642
[14194],35624
[14194],33464
[14194],83866
[17654],31756
[17654],33642
[17654],35624
[17654],33464
[17654],83866
[14868],31756
[14868],33642
[14868],35624
[14868],33464
[14868],83866
[14190],31756
[14190],33642
[14190],35624
[14190],33464
[14190],83866
[15271],31756
[15271],33642
[15271],35624
[15271],33464
[15271],83866
[14737],31756
[14737],33642
[14737],35624
[14737],33464
[14737],83866
[14792],31756
[14792],33642
[14792],35624
[14792],33464
[14792],83866
[16036],83867
[16281],83867
[18165],36540
[18165],36078
[18165],35612
[15205],36540
[15205],36078
[15205],35612
[17893],36540
[17893],36078
[17893],35612
[16230],30654
[16230],83868
[14411],30654
[14411],83868
[15033],30654
[15033],83868
[16229],30654
[16229],83868
[20473],30654
[20473],83868
[14955],83868
[19250],30654
[19250],83868
[14024],83868
[14849],30654
[14849],83868
[14740],30654
[14740],83868
[14275],83868
[16226],30654
[16226],83868
[15363],30654
[15363],83868
[15654],30654
[15654],83868
[15671],30654
[15671],83868
[17042],36004
[17042],29646
[17042],36634
[17042],83869
[17042],32621
[17042],36999
[17042],83870
[17042],37115
[15599],29646
[15599],36634
[15599],83869
[15599],32621
[15599],36999
[15599],83870
[15599],37115
[14945],29646
[14945],36634
[14945],83869
[14945],32621
[14945],36999
[14945],83870
[14945],37115
[19603],37311
[19603],35727
[14765],35727
[15602],35727
[20336],35727
[15391],35727
[17991],35727
[15315],35727
[19604],35727
[15243],35727
[15603],35727
[14663],35727
[20158],30494
[19641],30494
[19281],30494
[14269],30494
[14955],30494
[14024],30494
[14606],30494
[14030],30494
[14954],30494
[15003],30494
[14320],30494
[15206],30494
[14019],30494
[14604],30494
[14275],30494
[16753],30494
[15367],30494
[15077],30494
[17524],30494
[20212],30494
[20159],30494
[14023],30494
[14493],30494
[18102],30494
[15240],30494
[14113],29361
[14194],29361
[15149],29361
[14764],29361
[14229],29361
[14789],29361
[14780],29361
[14313],29361
[17422],37785
[15876],37785
[15985],37785
[15985],28158
[14262],37785
[15438],37785
[14772],37785
[15982],37785
[14764],37785
[14030],37785
[14028],37785
[15003],37785
[17601],37785
[17601],28158
[14273],37785
[17584],37785
[17585],37785
[15030],30039
[15970],30039
[20473],30039
[15429],30039
[14849],30039
[19886],30039
[14780],30039
[15134],30039
[15597],29118
[15597],36825
[15597],33590
[20542],29118
[20542],36825
[20542],33590
[14914],29118
[14914],36825
[14914],33590
[20473],29118
[20473],36825
[20473],33590
[14849],29118
[14849],36825
[14849],33590
[14764],29118
[14764],36825
[14764],33590
[15409],29118
[15409],36825
[15409],33590
[15134],29118
[15134],36825
[15134],33590
[15597],37570
[15597],37676
[15597],27610
[15597],83871
[15250],27610
[15250],83871
[15597],83872
[16825],83872
[14510],83872
[14774],83872
[20332],83872
[14768],83872
[20333],83872
[20334],83872
[15419],83872
[14269],83872
[14579],83872
[14206],83872
[14975],83872
[14128],83872
[15563],83872
[14662],83872
[14466],83872
[14326],83872
[15730],83872
[15761],83872
[14346],83872
[15267],83872
[18160],83872
[14184],83872
[14484],83872
[14254],83872
[15061],83872
[15666],83872
[14347],83872
[15034],83872
[15496],36266
[15496],83805
[20472],36266
[20472],83805
[14290],29229
[18311],29229
[15221],29229
[20522],29229
[14374],36034
[14374],93493
[14374],29175
[15121],36034
[15121],93493
[15121],29175
[14640],36034
[14640],93493
[14640],29175
[17538],36034
[17538],93493
[17538],29175
[14815],36034
[14815],93493
[14815],29175
[20436],83874
[20436],36785
[20436],32778
[14958],28374
[14958],33714
[14958],83878
[16340],28374
[16340],33714
[16340],83878
[14843],28374
[14843],33714
[14843],83878
[15316],28374
[15316],33714
[15316],83878
[20172],28374
[20172],33714
[20172],83878
[14785],28374
[14785],33714
[14785],83878
[20403],28374
[20403],33714
[20403],83878
[20218],28374
[20218],33714
[20218],83878
[14702],28374
[14702],33714
[14702],83878
[20146],28374
[20146],33714
[20146],83878
[18179],28374
[18179],33714
[18179],83878
[14729],28374
[14729],33714
[14729],83878
[14546],28374
[14546],33714
[14546],83878
[20214],28374
[20214],33714
[20214],83878
[20375],28374
[20375],33714
[20375],83878
[15839],28374
[15839],33714
[15839],83878
[20445],28374
[20445],33714
[20445],83878
[20424],28374
[20424],33714
[20424],83878
[15549],28374
[15549],33714
[15549],83878
[20376],28374
[20376],33714
[20376],83878
[15462],28374
[15462],33714
[15462],83878
[15144],28374
[15144],33714
[15144],83878
[14936],28374
[14936],33714
[14936],83878
[14786],28374
[14786],33714
[14786],83878
[15420],28374
[15420],33714
[15420],83878
[15254],33675
[15479],33675
[14707],83880
[16341],83880
[14706],83880
[14678],83880
[20446],83880
[16347],83880
[20447],83880
[20377],83882
[15064],83882
[14269],83882
[14020],83882
[14597],83882
[15486],83882
[14021],83882
[15500],83882
[20437],83882
[14941],83882
[14030],83882
[14028],83882
[15003],83882
[14320],83882
[17776],83882
[14019],83882
[14033],83882
[15583],83882
[14026],83882
[14029],83882
[14023],83882
[16219],35931
[16219],83883
[16219],39798
[15312],35931
[15312],83883
[15312],39798
[17319],35931
[17319],83883
[17319],39798
[16844],35931
[16844],83883
[16844],39798
[14399],35931
[14399],83883
[14399],39798
[20543],35931
[20543],83883
[20543],39798
[15767],33654
[15767],36584
[15767],37608
[15767],39245
[14754],33654
[14754],36584
[14754],37608
[14754],39245
[15180],33654
[15180],36584
[15180],37608
[15180],39245
[14050],33654
[14050],36584
[14050],37608
[14050],39245
[14851],33654
[14851],36584
[14851],37608
[14851],39245
[16063],33654
[16063],36584
[16063],37608
[16063],39245
[14030],33654
[14030],36584
[14030],37608
[14030],39245
[14028],33654
[14028],36584
[14028],37608
[14028],39245
[15003],33654
[15003],36584
[15003],37608
[15003],39245
[14320],33654
[14320],36584
[14320],37608
[14320],39245
[14031],33654
[14031],36584
[14031],37608
[14031],39245
[14017],33654
[14017],36584
[14017],37608
[14017],39245
[20418],33654
[20418],36584
[20418],37608
[20418],39245
[14016],33654
[14016],36584
[14016],37608
[14016],39245
[15582],33654
[15582],36584
[15582],37608
[15582],39245
[20318],33654
[20318],36584
[20318],37608
[20318],39245
[14023],33654
[14023],36584
[14023],37608
[14023],39245
[15755],83885
[14603],38244
[14603],28294
[14603],32772
[14152],38244
[14152],28294
[14152],32772
[16788],38244
[16788],28294
[16788],32772
[20265],83886
[14196],29175
[14196],36034
[14196],93493
[14142],29175
[14142],36034
[14142],93493
[14582],29175
[14582],36034
[14582],93493
[15153],29175
[15153],36034
[15153],93493
[14162],29175
[14162],36034
[14162],93493
[14269],36644
[14269],83756
[20436],36644
[20436],83756
[20436],31850
[14024],36644
[14024],83756
[14024],31850
[14030],36644
[14030],83756
[15003],36644
[15003],83756
[14320],36644
[14320],83756
[14019],36644
[14019],83756
[14023],36644
[14023],83756
[18410],33440
[15763],39609
[16490],39609
[15089],39609
[15579],39609
[15104],39609
[15767],33677
[14578],33677
[20544],33677
[16377],33677
[20290],33677
[20291],33677
[20169],33677
[16085],33677
[20357],33677
[14712],33677
[20146],33677
[20472],33677
[20417],33677
[20254],33677
[14589],33677
[20313],33677
[20314],33677
[17638],33677
[14384],33677
[20362],33677
[20376],33677
[20546],33677
[14366],33677
[20547],33677
[20447],33677
[14269],83888
[14018],83888
[14024],83888
[14030],83888
[15003],83888
[14320],83888
[14019],83888
[14023],83888
[15763],83889
[16350],83889
[14843],83889
[15316],83889
[20172],83889
[20403],83889
[20218],83889
[14702],83889
[18884],83889
[20146],83889
[14729],83889
[20503],83889
[20214],83889
[20375],83889
[17638],83889
[20424],83889
[14115],83889
[20362],83889
[20376],83889
[20189],83776
[20189],29614
[14179],83776
[14179],29614
[14943],83776
[14943],29614
[14203],83776
[14203],29614
[14221],83776
[14221],29614
[17729],83776
[17729],29614
[14685],83776
[14685],29614
[14270],83776
[14270],29614
[14624],83776
[14624],29614
[19663],83776
[19663],29614
[14235],83776
[14235],29614
[14993],83776
[14993],29614
[17215],83776
[17215],29614
[20548],83776
[20548],29614
[14268],83776
[14268],29614
[15881],83776
[15881],29614
[16321],83776
[16321],29614
[20549],83776
[20549],29614
[17730],83776
[17730],29614
[17124],27656
[15763],35535
[15763],83893
[14250],35535
[14250],83893
[14935],35535
[14935],83893
[20366],35535
[20366],83893
[14262],35535
[14262],83893
[17411],35535
[17411],83893
[14281],35535
[14281],83893
[15422],35535
[15422],83893
[15219],35535
[15219],83893
[14028],35535
[14028],83893
[15003],35535
[15003],83893
[14019],35535
[14019],83893
[17628],35535
[17628],83893
[14819],35535
[14819],83893
[20367],35535
[20367],83893
[15084],35535
[15084],83893
[14300],35535
[14300],83893
[15604],35535
[15604],83893
[20193],35535
[20193],83893
[20322],35535
[20322],83893
[20368],35535
[20368],83893
[15296],35535
[15296],83893
[20369],35535
[20369],83893
[17412],35535
[17412],83893
[14987],33603
[14987],35953
[17407],33603
[17407],35953
[14961],33603
[14961],35953
[14135],33603
[14135],35953
[14298],33603
[14298],35953
[14297],33603
[14297],35953
[14142],37769
[14142],27503
[14142],27703
[20148],83894
[14881],83894
[17338],83894
[20148],39609
[20157],39609
[15210],39609
[15122],39609
[20295],39609
[17252],39609
[14249],39609
[17378],39609
[17258],39609
[17243],39609
[17341],39609
[17229],39609
[17256],39609
[15783],39609
[17245],39609
[14950],39609
[17246],39609
[16306],39609
[20302],39609
[20218],39609
[14881],39609
[15098],39609
[14783],39609
[14591],39609
[16851],39609
[16063],39609
[14942],39609
[17230],39609
[20550],39609
[15460],39609
[16331],39609
[14745],39609
[14336],39609
[17235],39609
[20551],39609
[15086],39609
[16846],39609
[14898],39609
[17241],39609
[20321],39609
[14990],39609
[15877],39609
[15132],39609
[15171],39609
[20323],39609
[17242],39609
[20326],39609
[17237],39609
[20148],83897
[20157],83897
[20294],83897
[15210],83897
[15122],83897
[20295],83897
[17252],83897
[14249],83897
[17378],83897
[17258],83897
[16066],83897
[16490],83897
[17243],83897
[17341],83897
[17229],83897
[17256],83897
[15783],83897
[17245],83897
[14950],83897
[17246],83897
[16306],83897
[20302],83897
[15089],83897
[14193],83897
[20218],83897
[14159],83897
[14881],83897
[15098],83897
[14783],83897
[14591],83897
[16851],83897
[16063],83897
[14942],83897
[17233],83897
[17232],83897
[17230],83897
[15460],83897
[16331],83897
[14336],83897
[14238],83897
[17235],83897
[15086],83897
[16846],83897
[14898],83897
[17241],83897
[20321],83897
[14990],83897
[15877],83897
[15104],83897
[15132],83897
[15171],83897
[20323],83897
[17242],83897
[20326],83897
[17237],83897
[14987],83898
[14987],30034
[20293],83898
[20293],30034
[17407],83898
[17407],30034
[14961],83898
[14961],30034
[14135],83898
[14135],30034
[14506],83898
[14506],30034
[16264],83898
[16264],30034
[14284],83898
[14284],30034
[16268],83898
[16268],30034
[14298],83898
[14298],30034
[15477],83898
[15477],30034
[14402],83898
[14402],30034
[14947],83898
[14947],30034
[14297],83898
[14297],30034
[20552],29945
[20552],36000
[20552],31380
[20552],83899
[20552],37273
[14719],29945
[14719],36000
[14719],31380
[14719],83899
[14719],37273
[14190],29945
[14190],36000
[14190],31380
[14190],83899
[14190],37273
[14516],29945
[14516],36000
[14516],31380
[14516],83899
[14516],37273
[14758],29945
[14758],36000
[14758],31380
[14758],83899
[14758],37273
[14793],29945
[14793],36000
[14793],31380
[14793],83899
[14793],37273
[18195],29945
[18195],36000
[18195],31380
[18195],83899
[18195],37273
[14427],28714
[14400],28714
[16036],28714
[14632],28714
[16281],28714
[15045],28714
[14411],32531
[14411],35651
[14411],83796
[16753],32531
[16753],35651
[16753],83796
[15077],32531
[15077],35651
[15077],83796
[15748],32531
[15748],35651
[15748],83796
[15363],32531
[15363],35651
[15363],83796
[15012],32531
[15012],35651
[15012],83796
[14450],32531
[14450],35651
[14450],83796
[14411],32213
[14411],39883
[14411],83900
[15804],32213
[15804],39883
[15804],83900
[14740],32213
[14740],39883
[14740],83900
[14411],32520
[14269],83901
[14853],83901
[14030],83901
[15606],37786
[15606],36187
[14511],33454
[15493],33454
[15087],83903
[15094],83903
[14299],83903
[15116],83903
[15082],83903
[14176],83903
[15073],83903
[14156],83903
[15148],83903
[15087],83904
[15087],36105
[15211],83904
[15211],36105
[14299],83904
[14299],36105
[15116],83904
[15116],36105
[15073],83904
[15073],36105
[20422],83905
[20422],28456
[15558],83905
[15558],28456
[16867],83905
[16867],28456
[20553],35909
[16337],35909
[20487],35909
[20554],35909
[15712],35909
[15087],39261
[15211],39261
[14192],39261
[14182],39261
[15117],39261
[14189],39261
[14709],39261
[14141],39261
[14150],39261
[14173],39261
[14156],39261
[14543],39261
[14993],39261
[14643],39261
[14956],39261
[15078],39261
[15856],39261
[14940],39261
[15311],39261
[14542],39261
[14180],27933
[14164],27933
[17558],27933
[15877],33091
[15416],27933
[20129],27933
[14245],27933
[14294],27933
[14330],83906
[15416],83906
[15430],83906
[15297],83906
[14963],83906
[17066],83906
[14141],83906
[14993],83906
[14245],83906
[15834],31072
[15834],38066
[15430],31072
[15430],38066
[20339],31072
[20339],38066
[15466],31072
[15466],38066
[14295],83791
[14607],83791
[14299],28899
[15116],28899
[15082],28899
[14176],28899
[15073],28899
[14325],28899
[15148],28899
[14295],37888
[14607],37888
[14263],35897
[14020],35897
[14272],35897
[15160],35897
[14159],35897
[17560],35897
[14784],35897
[14807],35897
[16352],35897
[15614],35897
[15956],35897
[17568],35897
[16532],35897
[17561],35897
[14848],35897
[15166],35897
[20294],36091
[20294],83912
[20294],83913
[15210],36091
[15210],83912
[15210],83913
[15122],36091
[15122],83912
[15122],83913
[20295],36091
[20295],83912
[20295],83913
[17252],36091
[17252],83912
[17252],83913
[14249],36091
[14249],83912
[14249],83913
[17258],36091
[17258],83912
[17258],83913
[17239],36091
[17239],83912
[17239],83913
[16066],36091
[16066],83912
[16066],83913
[16490],36091
[16490],83912
[16490],83913
[17243],36091
[17243],83912
[17243],83913
[17229],36091
[17229],83912
[17229],83913
[14266],36091
[14266],83912
[14266],83913
[14754],36091
[14754],83912
[14754],83913
[17256],36091
[17256],83912
[17256],83913
[15783],36091
[15783],83912
[15783],83913
[17245],36091
[17245],83912
[17245],83913
[15118],36091
[15118],83912
[15118],83913
[14950],36091
[14950],83912
[14950],83913
[17240],36091
[17240],83912
[17240],83913
[19551],36091
[19551],83912
[19551],83913
[15774],36091
[15774],83912
[15774],83913
[15180],36091
[15180],83912
[15180],83913
[20458],36091
[20458],83912
[20458],83913
[16323],36091
[16323],83912
[16323],83913
[14960],36091
[14960],83912
[14960],83913
[14193],36091
[14193],83912
[14193],83913
[14295],36091
[14295],83912
[14295],83913
[14881],36091
[14881],83912
[14881],83913
[14983],36091
[14983],83912
[14983],83913
[14607],36091
[14607],83912
[14607],83913
[15098],36091
[15098],83912
[15098],83913
[20555],36091
[20555],83912
[20555],83913
[14942],36091
[14942],83912
[14942],83913
[14030],36091
[14030],83912
[14030],83913
[14028],36091
[14028],83912
[14028],83913
[15003],36091
[15003],83912
[15003],83913
[14320],36091
[14320],83912
[14320],83913
[17233],36091
[17233],83912
[17233],83913
[17232],36091
[17232],83912
[17232],83913
[17230],36091
[17230],83912
[17230],83913
[14017],36091
[14017],83912
[14017],83913
[15460],36091
[15460],83912
[15460],83913
[17236],36091
[17236],83912
[17236],83913
[20418],36091
[20418],83912
[20418],83913
[14336],36091
[14336],83912
[14336],83913
[14016],36091
[14016],83912
[14016],83913
[15260],36091
[15260],83912
[15260],83913
[15582],36091
[15582],83912
[15582],83913
[17235],36091
[17235],83912
[17235],83913
[18755],36091
[18755],83912
[18755],83913
[15086],36091
[15086],83912
[15086],83913
[14898],36091
[14898],83912
[14898],83913
[17251],36091
[17251],83912
[17251],83913
[17241],36091
[17241],83912
[17241],83913
[14990],36091
[14990],83912
[14990],83913
[17231],36091
[17231],83912
[17231],83913
[15877],36091
[15877],83912
[15877],83913
[17247],36091
[17247],83912
[17247],83913
[14232],36091
[14232],83912
[14232],83913
[20326],36091
[20326],83912
[20326],83913
[20465],36091
[20465],83912
[20465],83913
[17237],36091
[17237],83912
[17237],83913
[20157],37811
[14249],37811
[17378],37811
[17246],37811
[16306],37811
[15089],37811
[20218],37811
[14881],37811
[14591],37811
[14018],37811
[16063],37811
[16331],37811
[14336],37811
[14898],37811
[20321],37811
[15104],37811
[15132],37811
[15171],37811
[15180],33306
[14167],33306
[20412],33306
[20157],35547
[15210],35547
[14249],35547
[17378],35547
[17258],35547
[16490],35547
[17229],35547
[17256],35547
[15783],35547
[14950],35547
[17246],35547
[16306],35547
[15868],83897
[15868],35547
[20302],35547
[15089],35547
[14262],83897
[14262],35547
[20218],35547
[14881],35547
[14783],35547
[14591],35547
[16063],35547
[14942],35547
[15781],83897
[15781],35547
[17233],35547
[17232],35547
[17230],35547
[14157],83897
[14157],35547
[15460],35547
[16331],35547
[14336],35547
[14898],35547
[20321],35547
[14990],35547
[15104],35547
[15132],35547
[15171],35547
[20323],35547
[17242],35547
[20326],35547
[14154],83897
[14154],35547
[17237],35547
[15416],83914
[14246],83914
[20129],83914
[14245],83914
[15154],36492
[15154],35790
[14595],32856
[14595],39535
[14595],27581
[15902],32856
[15902],39535
[15902],27581
[15903],32856
[15903],39535
[15903],27581
[20157],39365
[14249],39365
[16490],39365
[16350],39365
[15089],39365
[20304],39365
[14881],39365
[14783],39365
[17831],39365
[14419],39365
[15781],39365
[14336],39365
[14238],39365
[14340],39365
[14287],39365
[15104],39365
[14154],39365
[16182],28714
[20339],28714
[14499],28714
[20556],28714
[20557],27502
[20557],29220
[20557],30373
[20557],30905
[20557],27755
[15049],28977
[15049],38592
[15049],39600
[20485],35831
[20485],83897
[18312],35831
[18312],83897
[20204],35831
[20204],83897
[20248],35831
[20248],83897
[14288],35831
[14288],83897
[14773],35831
[14773],83897
[15504],35831
[15504],83897
[20485],37549
[20485],37787
[18574],37549
[18574],37787
[20265],37549
[20265],37787
[20208],37549
[20208],37787
[18312],37549
[18312],37787
[14188],37549
[14188],37787
[15419],37549
[15419],37787
[15326],37549
[15326],37787
[14995],37549
[14995],37787
[20203],37549
[20203],37787
[15322],37549
[15322],37787
[15180],37549
[15180],37787
[14335],37549
[14335],37787
[14167],37549
[14167],37787
[20250],37549
[20250],37787
[20404],37549
[20404],37787
[18313],37549
[18313],37787
[15476],37549
[15476],37787
[14333],37549
[14333],37787
[14311],37549
[14311],37787
[14288],37549
[14288],37787
[20289],37549
[20289],37787
[20249],37549
[20249],37787
[20409],37549
[20409],37787
[14773],37549
[14773],37787
[20207],37549
[20207],37787
[15504],37549
[15504],37787
[20414],37549
[20414],37787
[20415],37549
[20415],37787
[20235],37549
[20235],37787
[20418],37549
[20418],37787
[15442],37549
[15442],37787
[14291],37549
[14291],37787
[20481],37549
[20481],37787
[20422],37549
[20422],37787
[14545],37549
[14545],37787
[14882],37549
[14882],37787
[14195],37549
[14195],37787
[15289],37549
[15289],37787
[14205],37549
[14205],37787
[14185],37549
[14185],37787
[16867],37549
[16867],37787
[14936],37549
[14936],37787
[14285],37549
[14285],37787
[14309],37549
[14309],37787
[15542],83918
[15542],39701
[20303],83918
[20303],39701
[15116],83918
[15116],39701
[14176],83918
[14176],39701
[14156],83918
[14156],39701
[14260],83918
[14260],39701
[15078],83918
[15078],39701
[17558],83918
[17558],39701
[14177],83918
[14177],39701
[16842],83918
[16842],39701
[14154],83918
[14154],39701
[16419],83919
[16419],33666
[14253],83919
[14253],33666
[14028],83919
[14028],33666
[15003],83919
[15003],33666
[14023],83919
[14023],33666
[16087],37892
[14250],37892
[20558],37892
[14281],37892
[17628],37892
[14819],37892
[15084],37892
[14300],37892
[20238],37892
[15456],37892
[20322],37892
[14023],37892
[14030],36140
[14030],32702
[14028],36140
[14028],32702
[15003],36140
[15003],32702
[14042],36140
[14042],32702
[14320],36140
[14320],32702
[18036],36140
[18036],32702
[14754],37609
[14030],37609
[14028],37609
[15003],37609
[14320],37609
[14017],37609
[14016],37609
[15582],37609
[14159],36855
[14784],36855
[15956],36855
[15254],36855
[14336],36855
[15479],36855
[14578],31790
[14578],83920
[14578],83921
[14711],31790
[14711],83920
[14711],83921
[15822],31790
[15822],83920
[15822],83921
[14754],37607
[15180],37607
[14320],37607
[20418],37607
[14798],37628
[14798],31501
[15767],36893
[15767],83922
[14578],36893
[14578],83922
[20544],36893
[20544],83922
[20294],29244
[15210],29244
[15122],29244
[20295],29244
[17252],29244
[16066],29244
[16490],29244
[17243],29244
[17245],29244
[14193],29244
[15098],29244
[17233],29244
[17232],29244
