hypergraph_idx,kg_idx,node_name
263,17377,Phenol
264,17378,Guaiacol
265,17390,Nesiritide
266,17398,Anakinra
267,17407,Pravastatin
268,17411,Naftifine
269,17412,Butenafine
270,17414,Piribedil
271,17415,Tiapride
272,17417,Natalizumab
273,17422,Vedolizumab
274,17428,Etidronic acid
275,17434,Travoprost
276,17435,Latanoprost
277,17436,Latanoprostene bunod
278,17437,Metyrosine
279,17493,Sermorelin
280,17494,Tesamorelin
281,17495,Sargramostim
282,17503,Dezocine
283,17508,Methylnaltrexone
284,17509,PLX-4720
285,17524,Carmustine
286,17528,Glutathione disulfide
287,17533,Denileukin diftitox
288,17534,Basiliximab
289,17535,Daclizumab
290,17536,Darbepoetin alfa
291,17537,Erythropoietin
292,17538,Dibromotyrosine
293,17539,Peginesatide
294,17545,Gemtuzumab ozogamicin
295,17548,Cetilistat
296,17558,Pregabalin
297,17559,Gabapentin enacarbil
298,17560,Orciprenaline
299,17561,Bitolterol
300,17562,Procaterol
301,17568,Tulobuterol
302,17583,Etanercept
303,17584,Adalimumab
304,17585,Infliximab
305,17594,Andrographolide
306,17598,Plinabulin
307,17599,Dexanabinol
308,17601,Golimumab
309,17605,Cetuximab
310,17607,Palivizumab
311,17612,Alefacept
312,17613,Siplizumab
313,17624,Acetyldigitoxin
314,17628,Ciclopirox
315,17631,Almitrine
316,17634,Potassium acetate
317,17638,Magnesium lactate
318,17639,Mecobalamin
319,17646,Cisatracurium
320,17647,Mecamylamine
321,17652,Tetracaine
322,17653,Dexrazoxane
323,17654,Valrubicin
324,17656,Lucanthone
325,17658,Amonafide
326,17662,Aldoxorubicin
327,17663,Becatecarin
328,17664,Annamycin
329,17666,Finafloxacin
330,17677,Ranirestat
331,17693,Palifermin
332,17711,Panitumumab
333,17712,Matuzumab
334,17713,Rindopepimut
335,17715,Pelitinib
336,17718,Necitumumab
337,17719,Zalutumumab
338,17720,Olmutinib
339,17724,Methadyl acetate
340,17727,Pamidronic acid
341,17728,Zoledronic acid
342,17729,Alendronic acid
343,17730,Ibandronate
344,17735,Incadronic acid
345,17736,Minodronic acid
346,17739,Dihydrotachysterol
347,17741,Seocalcitol
348,17743,Inecalcitol
349,17746,Eldecalcitol
350,17773,Lenograstim
351,17774,Lipegfilgrastim
352,17775,Diflorasone
353,17776,Desoximetasone
354,17779,ORG-34517
355,17781,Onapristone
356,17782,Methyprylon
357,17799,Carbocisteine
358,17829,Lithium citrate
359,17831,Lithium carbonate
360,17832,Acarbose
361,17833,Voglibose
362,17881,Carbetocin
363,17883,Abatacept
364,17884,Belatacept
365,17885,Galiximab
366,17886,Tetracosactide
367,17888,Bremelanotide
368,17889,Varenicline
369,17891,Cytisine
370,17893,Olaratumab
371,17903,Vildagliptin
372,17936,Gosogliptin
373,17944,Dutogliptin
374,17945,Eculizumab
375,17946,Ravulizumab
376,17947,Idursulfase
377,17948,Galsulfase
378,17949,Albiglutide
379,17950,Dulaglutide
380,17951,Lixisenatide
381,17954,Linsitinib
382,17955,Teprotumumab
383,17958,Cixutumumab
384,17987,Calcium chloride
385,17991,Ipilimumab
386,17992,Tremelimumab
387,17993,Indirubin-3'-monoxime
388,17999,Flucytosine
389,18001,Epigallocatechin gallate
390,18028,Levamisole
391,18036,Bacitracin
392,18040,Leronlimab
393,18042,Ibalizumab
